,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
x1x2,0.078041881,1.273165062,0.694044802,0.608037642,0,0.252843645,0.992239785,0,0.294696162,0,0.885787212,0.411811547,0,0.428551804,0,0.653664517,0.907387874,0,0,0,0,0.465611001,0,0,0.938765358,0,0,0,0.855274763,0.711195364,0,1.395721341,0.282452197,0.868735885,0.451745653,0.56332097,1.312631725,0,0.829684422,0.25376776,0,0.115684533,1.485198056,0.861811833,0.417909598,0.017388777,0,0,1.352346056,1.445963759
x1x3,1.71945253,0.346760753,0,1.192462374,0.404398596,0.24376311,0,0,0,0.109155999,0,0.564691986,1.008900474,0.282899008,0.471211807,0.834205395,0,0.117327506,0,0,0.438897445,0,0.661468056,0.638023518,0.144742001,0.556203841,1.01002741,0,0,0.134354004,0,0,0.92910726,1.263758172,0,0,0.218199678,0.606985083,0.897596854,0,0,1.524674721,0.999491301,0.415523008,0.761501539,2.233500145,0.095002205,0.352340416,0.917945678,0
x1x4,0,1.068132213,0,0,0,0,0.849518118,0.90896766,0.65163537,0.552007958,1.216001355,0,0.065339889,0,0.722276221,0.419407773,0.440308512,1.412498904,0,0.067483006,0,0,1.164912489,0.863502325,0.996761601,0,0.142142938,0,0,1.004265371,0,0.077610275,1.131178936,1.432278313,1.028732943,0.607278775,0,0.725397,0,0,0,1.259875495,0.671584084,0.944574976,1.12583482,0.149739774,1.086466111,0.271644818,0.155557856,-0.455303385
x1x5,0,-0.671000915,-1.697099398,0,0,0,0,-0.286399291,-0.593022538,0.602575474,-0.080799504,-0.096645219,0,0,0,0.140398479,0,-0.502439747,0,0.1516768,0,0,0,0,0,-0.387842384,0,0,0,0,0,-0.038252113,0,0,0,0,0,-0.320511716,0,0,0,0.257646566,-0.198746959,0,0.240451346,0,0,1.436684706,0.168809354,-0.067680754
x1x6,-0.074795084,0,-0.07231632,0,0,0,0,0,0.086839569,0,0.14875539,-0.032258374,0,0.125392508,0,0,0,-0.091505317,0,0,0,0,0.098183669,0,0,0,-0.014046681,0,0,-0.269779561,0,0,0.190951469,0,-0.308458018,0,0,0,0,0,0,0.217559705,-0.161140293,-0.127179776,-0.389661364,0,0.498145941,0,0,0.350171985
x1x7,0,0,0.610512733,-0.20250425,0,0,0,0,0.125997905,0,-1.373831779,0,0.406030438,0,0,0.87914638,0,-0.542813191,0,0,0,0,-0.115473583,0,-0.005923024,0,0,0.075418499,0,-0.199210518,0,-0.043654624,-0.020043214,-0.047451131,0,0.367249274,0,0,0,0,0,-0.341410618,0,0,0,-0.02279118,-0.007384707,0.560738735,0,0
x1x8,0.322243281,0,0,0,0,0,-0.049132353,-0.107254286,0,0,-0.240845919,0,0,0,-0.210743526,0,0,0,0,-0.125717193,0,0,0.078146886,0,0,0,0.882905221,0,0,0,0,-0.04027957,0,-0.107265867,0,0,0,0,0.675410598,0,0,0.832588682,0.309726657,-0.17844983,0.261374674,-1.234948619,0,-0.3291717,0,0.728032697
x1x9,0,0,-0.793448455,0.380871585,0,-0.277756254,0,0,0,0,0,0,0.188208659,-0.204493876,0,0,0,0,0,0,0,0.220154997,0,0,0,0.108245234,-0.010815916,0,0,0.088978625,0,0.7732186,0,-0.534725355,0,-0.799806756,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x1x10,0,-0.020625598,0,0,0,0,0,0,0,0,0.227534227,0,0,0,-0.229703276,0.604661486,0,0,0,0,0,0.324138068,-0.081325072,0,-0.333554886,0.244084897,0,0,0,0,0,0.54985105,0,0,0,0,0,0,-0.156446136,0,0,0,0.064344253,0.140497555,0,0,0.208205192,-0.060401108,0,0
x2x3,0.802442114,0.970548527,0.353636324,1.054858137,0.37219297,0,0,0.460380344,0.331161094,0,0.492675396,1.097501522,1.146998547,0.58684867,0.294034675,0.294334007,0.29018014,0.908136803,0,0.38632185,0,0.519836146,1.10452393,0,0.486104855,0.660453278,0.070546161,0,0,0.179946341,0,1.36568047,0.536507671,0,0.955377195,0,1.088763446,0,0,0.53327089,0,0.075729363,0.472078749,0,0.392631593,1.098404967,0.745481599,1.392834465,0.436367817,0.278651813
x2x4,1.555602835,0,0.903558389,1.629826348,0,0.902101042,0.232467875,0,0,0.585631066,0.024988474,0,0,1.312340232,0.961853773,0.321740842,0.067774598,0.087153661,0.509073299,0.069262154,0.768690579,0.597989938,0.730423673,0.667134853,0,0.813171693,0.879193356,0,0,0,0,1.226648295,0,0.660582052,0.140201525,0.986781739,0.455023109,0,0.195779861,0.933712874,0.041223648,0.158262324,1.200235486,0.427195327,0.565641932,0.45345513,0,0.561291822,0.069885364,0.422249575
x2x5,0,0,0,0,0,0.365410035,0,0.368868159,0,-0.383646141,0,-0.296312203,-0.067277078,0,0,0.461317956,0,0.003630863,0,0,0,-0.012713043,0,0,0.769232449,0,-0.268068575,-0.245125433,0,0,0,0,0,0,0,0,0,0,0,-0.460294554,0,0,0,0,0,0,-0.077926872,0.044532044,0,0.340744907
x2x6,0,0,-0.143744478,0,0,0,0,0,-0.000165448,-0.004615343,0.214785551,0.424483754,0,0,0,0,0,-0.8753854,0,0.036272973,0,-0.061930126,-0.069382718,0.150922103,0,0,0,-0.121065844,0,0,0,0,0,-0.18786062,1.039905105,0,0.424830625,0,0,0,0.23290877,0,-0.802511106,0,0,1.322782807,0,0,0,0
x2x7,0,0,0,0,0,-0.297882721,0.000493851,0,0,0,0,0,0,0,-0.34243121,0.246333503,-0.344056836,0,-0.020026844,0,0,-0.047191975,0,0,0,-0.364585582,0.218061152,-0.222983653,0,0,0,0.544765062,-0.561264202,0,-0.057497104,-0.008534768,0,0.434981318,0,0,0,0,0,0.374610505,-0.20689255,0,-0.013677889,0.383607328,0,0
x2x8,0,0.170072375,0,0.512717986,0,0,0,0,0,0,0.018357172,0,0,-0.002702434,0,0,0,-0.63023803,0,0,0.009206452,0,0,0,0,0,0.317002403,0,0,0,0,-0.130071978,0.371545745,0,0,0,0,-0.516328583,0,0,0,0.122963826,0.855010075,0,0,0,0,0,0,-0.018674209
x2x9,0,0,0,0,0,0,0,0,0,0,0.227748977,-0.019490219,0,0,0,0,0,0.18295418,0,0,-0.297471873,0.621128589,0,0,0,0,0,0.357714007,0,0.235172004,0,0,0,-0.505494521,0,0,0,0,0.829854078,0,0.611187514,0,0.235273825,-0.845212166,0,0,0,-0.0676695,0,0
x2x10,0,0.80385319,-0.099083568,0,0,0,0,0.230434009,-0.436371727,0,0,0,0.833295863,-0.721017875,0,0,0,0,0,0,0.976527217,0.748940671,0,0,0,0,0,0.800687466,0,0.201797166,0,0,0,0,0,0,0,0.096247698,0,0,0,0.241213458,0,0,0,0.420416703,0,-0.677809174,0,-0.597778614
x3x4,0,0.992484836,0,0.170861273,0.187233765,0.50569314,0.706340514,1.47102195,0.430590594,0.903038959,1.787665959,0.876270854,1.454537306,0.709280573,0,0.744394808,0.657566384,0.530310434,0,0,0.580593681,1.289760622,0.285940172,0.061266254,0.189358989,0,0.568210737,0,0,0.009860628,0.591666817,1.827809438,0,1.145865344,0.66114975,0,0,0,0,0,0,0,0,1.350552452,0.069269384,1.308544751,1.432791285,0,1.096161331,0.584866716
x3x5,0,0,0.704718308,0,0,-0.255722381,0,0.39801491,0,0,0,0,0,0,0,0,0,-0.430328969,0,0,-0.57307276,0,0,0,0,0.181690937,0.195921929,0,0,-0.289650024,0,0,-0.477412165,0,0,0,0,0,0,0,0,0,0,-0.82322347,0.209153769,0,-0.107918946,0,0,0
x3x6,-0.08277735,-0.554297834,0,0,0.080036778,-1.011259506,0,0,0,0,-0.387564331,0,0,0,0,0,0.416605009,-0.220945524,0,-0.163052344,0,0,0,0,0,0,0.557965753,-0.021428554,0,-0.9474142,0,0,0,0.174920722,0,-0.020882473,0,0,0,0,0,0,0,0,0,-0.320369226,0,0,0,0
x3x7,0,1.100074275,-0.245000737,0,0,0.366532155,0,0.161067341,0,0.186005932,0,0.127198975,0,0,0,0,0,-0.724783588,-0.094752185,0,0,0.311438996,0,0.095486893,0.162656288,-0.125905174,0.836866245,0,0,0,0,0,-0.7520433,0,0,0,0,0,0,-0.236533822,0,0,0,0,0.147812885,0.615785173,0,0,0,0
x3x8,0,0,0,0.124028095,0,0,-0.715613112,0,0,0,0,-0.482397556,0,0,0,0,0,-0.048079419,0,-0.535885811,0.207323136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223275986,0,0.203950295,0,0,0,0,0.748660763,-0.751203503,0,0,0,0
x3x9,0,1.938461201,-0.085584622,0,0,-0.760266746,0,0,-0.074620054,0,0,0,0,0,0,0,-0.572281555,1.046583009,0,0,0,0,0,0,-1.02664003,0,-0.034299218,0,0,0,0,0,0,0.451197421,0,0,0,0,0,0.091471329,0,0,-0.116234638,0.278822504,0,0.141025333,0,0.420761494,0,-0.162075521
x3x10,0,-0.143835391,0,0,0,0.228351669,0,0,0,0,0,0,-0.191186232,0,0,0,0.618788931,-0.409543255,0,0,0,0,0.040796811,-0.104379511,0,0,0,0.238303444,0,0,0,0,0,0,0,0,0,0.239219828,0,0,0,0,0,0.435115155,0.275970865,0,0,0.02785825,0,0
x4x5,0,0.472229108,0,0,0,0,-0.394341295,1.076043205,0,0,0,0.389842986,-0.090193329,0.103907145,0,0.409287979,0,0,0,0,0.168045466,0,0,-0.18200765,0.443518704,0,0,0,0,0.337452812,0,0,0,0.438254001,0,0,0,0,0,-0.022972921,0,0,0.672016685,0,0.628196572,0,0,0.10245279,0,0
